,target_text,pred_str_without_LM,pred_str_with_LM
33,the dinosaur looks around for human feel sad,the downi souwl looks around for him and feel sad,the down soul looks around for him and feel sad
34,the dinosaur lies on the floor,the dinosar lies on the floor,the dinosaur lies on the floor
35,the baby feel sad,the baby fel sad,the baby feel sad
36,the baby wants to pet him,the bagbe wans to patin,the baby wants to pat him
37,and then he feeds him his milk,and then he feeds om his milk,and then he feeds on his milk
38,the baby feel happy,the baby feel happy,the baby feel happy
39,he was on a skateboard,he was on a sky buld,he was on a sky bold
40,he bumped into a egg,heay bumped into the eg,he bumped into the egg
41,the egg is hatching,deg is hatching,beg is hatching
42,there's a dinosaur,dos a donosa,does a dons
43,there's a dinosaur near him,de tonnoo a him,the to him
44,he went away and hinding,human regt and hotty,human right and hot
45,he's hiding behind a tree,s hotting behind the tree,s hating behind the tree
46,he's sad,husad,sad
47,he's lonely,his lonely,his lonely
48,the boy said that he made him sad,the bullws sad that he mete hem sad,the bull was sad that he met him sad
49,he's calm making him calm down,his co making him come down,his co making him come down
50,put his bottle in his mouth,put his bottle in his mouth,put his bottle in his mouth
51,he's laughing,hi long,his long
52,there was a dinosaur,the ha was a dare,the he was a dare
53,he was on the skateboard,have was on the sky board,have was on the sky board
54,he was listening to the egg,heay was something to the a,he was something to the
55,the egg was cracking,the ag was clacking,the age was cracking
56,the dinosaur poked out his head,the dnosa poke out his head,the dinosaur poked out his head
57,the dinosaur was about to lick him,the disaw was about to lick him,the dinosaur was about to lick him
58,he was hiding,he was hiding,he was hiding
59,the dinosaur was sad,the donosal was fat,the dose was fat
60,and the dinosaur was lying down,and the donsall was runng down,and the dose was rung down
61,and he was looking at the dinosaur,and he was looking at the dona sa,and he was looking at the do so
62,he was touching the dinosaur,k was taching the dow so,he was touching the do so
63,and he feed the dinosaur his milk,and he fte the don fellas muk,and he fate the don fellas mike
64,and then he laugh,and then he loughed,and then he laughed
65,he is riding his skateboard,he's riding his scate bard,he's riding his skate board
66,he crashes into the egg the dinosaur egg,hey crashes in to the eg the duns leg,hey crashes in to the egg the dons leg
67,and then he got upset,and then he got up set,and then he got up set
68,then he listened to the egg when he fell off,then he listened to the eg when he fell off,then he listened to the egg when he fell off
69,and the egg started hatching,and the eg satered hatching,and the egg catered hatching
70,it started cracking and then,it sounded cracking and then,it sounded cracking and then
71,he was shocked,he was chockued,he was shocked
72,and then a little like dinosaur popped out of it,and then a little like dinosaur popped out of it,and then a little like dinosaur popped out of it
73,scared and worried and he was confused,scared and worried and hit was confused,scared and worried and he was confused
74,and then the dinosaur just were hopped out of the egg,and then the dianosaur just was hopped out of the eg,and then the dinosaur just was hopped out of the egg
75,the boy's like startled to the ground,the boys like startled to the ground,the boys like startled to the ground
76,and he ran and hid from the dinosaur,and he ran and hid from the dinosal,and he ran and hid from the dino sal
77,cuz he thought the dinosaur would eat him,cause he felt the dinosall would ate him,because he felt the dinosal would ate him
78,but the dinosaur looked around and then he got sad that the guy left,but the dinosall looked around andthen he got sad that thic eye left,but the dinosall looked around and then he got sad that thick eye left
79,and that's him lying on the groung like being upset because,and that's him lying on the ground like being upset because,and that's him lying on the ground like being upset because
80,he can't find his friend,hay confind his friends,he confined his friends
81,and then the boy felt sorry,and then the boy felt sorry,and then the boy felt sorry
82,well he was hiding because the dinosaur was sad,well he was hiding because the dinosall was sad,well he was hiding because the dinosaur was sad
83,and so he went over and petted the dinosaur,and so hey went iver and pad of the dinosall,and so they went over and pad of the dinosall
84,and gave the dinosaur some of his milk,and gave the dinosa some of his milk,and gave the dinosaur some of his milk
85,he started laughing,he thought a laughing,he thought a laughing
86,because the dinosaur looked funny,because the dinosall looked funny,because the dinosal looked funny
87,baby hulk was riding on a skateboard and then he crashed into an egg,baby houck was riding on the scaybord and then he crushed into an eg,baby hook was riding on the scaybord and then he crushed into an egg
88,he hurt the egg,he hud the egg,he had the egg
89,he put his ear up to it,he put his ear up to it,he put his ear up to it
90,the egg started cracking,the egg started cracking,the egg started cracking
91,and the egg cracked and the dino baby dinosaur came out,and the edg cracks and  dina baby dinosall came out,and the egg cracks and dina baby dinosaur came out
92,the baby dinosaur was excited when a,the baby dinosau was excited one of,the baby dinosaur was excited one of
93,and went up to baby hulk but he was scared,and went up to they bi hok but he was scared,and went up to they be hock but he was scared
94,so he ran and hid behind a tree,so he ran and hit behind a tree,so he ran and hid behind a tree
95,and the baby dinosaur didn't know where he was,and the baby dime sawr didn't know where he was,and the baby dime saw didn't know where he was
96,and then he was sad,and then he was sad,and then he was sad
97,the baby dino being sad made baby hulk sad,the baby dine at being sad made baby hok sad,the baby dine at being sad made baby hook sad
98,so he went up to the dinosaur and petted him on the head,so he went up to the dinosaul and patted him on the head,so he went up to the dinosaul and patted him on the head
99,then gave him his bottle,then gave him his bottle,then gave him his bottle
100,and then he found it funny,and then he found it funny,and then he found it funny
101,the boy is on skateboard,the boys on hskyboard,the boys on the sky board
102,the boy snare a dinosaur egg,the boy sn ads,the boy s s
103,the boy's touching the dinosaur egg,the bys taughtsen the dos,the boys taught send the dons
104,the dinosaur egg is cracking open,the dso a is ca an opn,the do so a is coat an open
105,the dinosaur egg is opened,thth agaopend,the the end
106,the boy is hiding behind a tree,the boy is hard in behond a tway,the boy is hard in bend a way
107,dinosaur is in there by himself,doncel is in there by hsef,doc is in there by he
108,the dinosaur is still there by himself but on the floor,the din saw is still nerd by itself bt onthe,the i saw is still near by itself but the
109,the boy is hiding behind a tree,the boy is hotin behond a twe,the boy is hot in bend a we
110,the boy is pet the dinosaur on the head,the boy is pying e don sow on the head,the boy is pine do so on the head
